name,cluster
Santuario Gesha #113 (Innovation Series),2
Colombia Cardona Natural,2
Rwanda Sholi,2
Wilton Benitez Geisha,2
Bright Minds,2
Ethiopia Haro Wachu,2
Kenya Karindundu AA Small Lot Reserve,2
California Grown,2
Bolivia Yungas Caranavi Alasitas Geisha Natural,2
Ecuador Los Eucaliptos,2
Colombia Monteblanco Purple Caturra Natural,2
Kenya Safari AB Top,2
Ethiopia Natural Guji Hambela G1 Bishan Fugu,2
Ketiara Sumatra,2
Sumatra Tano Batak,2
Café Granja La Esperanza Sudan Rume Natural,2
Bufcafe Rwanda,2
Ethiopia Sidama Shantewene,2
Kenya Murang’a Githiga AA,2
Yemen Matari,2
Colombia Tolima Monteverde Estate Natural Wush Wush,2
Colombia Las Joyas: Fidencio Martinez Lot,2
Estate-Grown Mamo,2
Ka’u Natural,2
Puna Barrel-Aged,2
Monarch Gesha,2
Natural Burundi Nemba,2
Rukera Kenya,2
Kenya Handege,2
Geisha Village Auction Lot #11,2
Kenya Chania Estate,2
Ethiopia Natural Yirgacheffe Blue Donkey Lot,2
José Flores El Salvador Natural,2
Finca San Antonio El Salvador,2
Panama Ninety Plus Perci Lot 50,2
Finca Kilimanjaro Natural,2
Ethiopia Banko Dhadhato Washed,2
Mama Cata Geisha Washed,2
Los Congos Pacamara Honey,2
Kenya Thaitu,2
DR Congo Virunga Organic,2
Kenya Karinga,2
Costa Rica Sonora Estate Venecia Natural,2
Indonesia Emerald Mandheling,2
Gaitania Colombia,2
Ethiopia Natural Sidamo Papilio,2
Ethiopia Dumerso Light Roast,2
Kenya Gura AA,2
Kenya Nyeri Gatugi Peaberry,2
Lotus by Ninety Plus,2
Burundi Gahahe Washing Station Microlot Honey,2
Burundi Gaharo Hill Long Miles Coffee Project Natural,2
Sumatra Batak Naga Saribu,2
Ethiopia Guji Natural Dasaya G1,2
Sumatra Batak Naga Saribu M-Plus,2
Static Chirinos Peru,2
Guatemala Finca Las Terrazas,2
Colombia Jairo Alcaraz,2
Ethiopia Gotiti Natural,2
Ethiopia Yirgacheffe Natural,2
Berlina Geisha,2
Tarime Tanzania,2
Roba Ethiopia (Chelbessa),2
Kenya Mwiria,2
Kenya Gikirima Kibugu,2
Kibugu Kenya,2
Panama Finca Lerida Geisha Black Honey,2
Auromar Geisha Natural,2
Colombia Antioquia Natural Carbonic Maceration Caturra,2
Talquezalar El Salvador,2
Ethiopia Sidamo Gora Kone,2
Ethiopia Gera Estate Natural,2
Limu Ethiopia Natural,2
Kenya Nyeri AB Nyeshun,2
Ethiopia Kayon Mountain (Natural),2
Kona Champagne Natural Black Rock Farm,2
Honduras San Vincent,2
Hawai’i Kilauea Volcano Yeast Fermentation Washed,2
Honduras Buenos Aires,2
Taiwan Natural Medium Roast,2
Kenya Rungeto,2
Kenya Kirinyaga Kii,2
Colombia Tolima,2
Ethiopia Guji 1 Natural Hambela Lot 215,2
Costa Rica Cordillera del Fuego,2
Ethiopia Natural Guji D Minor Special Lot,2
La Esperanza Colombian Natural X.O.,2
GW01 Finca Sophia Olympus Geisha,2
Tigesit Waqa,2
Shantawene Ethiopia Daya Bensa Natural,2
Finca Sophia Gesha Washed,2
Ethiopia Natural Guji Blue-Donkey 2020,2
Panama Finca Minerva-Mirage Pacamara BOP PAC04,2
Natural Typica Anaerobic,2
Jose Cienfuegos Mexico,2
Ethiopian Guji Ana Sora Alcoholic Natural G1,2
Costa Rica Cumbres Del Poas Anaerobic,2
Coral,2
Thailand Robusta Panid Choosit,2
Berg Wu Championship Sidamo Washed G1 Lot 20-02,2
Kilauea Volcano Champagne Natural,2
Ethiopia Guji Shakisso Natural Lot 24,2
Ethiopia Guji Hambela Buku Abel Natural G1,2
Sumatra Gayo G1 Triple-Picked Lot 005,2
Panama Geisha Alto Jaramillo,2
Panama Finca Kalithea Natural Geisha,2
Colombia Finca La Maria Geisha Natural,2
Best of Panama GNEP-01 Elida Geisha Green Tip Natural,2
Guatemala Washed Finca El General Pache,2
Ethiopia Sidama Naia Bomb Natural Vertical Reserve,2
Panama Hacienda La Esmeralda Super Mario Geisha,2
Washed Kenya,2
Elida Estate Geisha Green-Tip Natural,2
Costa Rica Brunca Finca Vista Passion Honey,2
Ethiopia Yirgacheffe Adorsi,2
Ethiopia Anaerobic,2
Panama Perci Geisha Natural,2
Panama Elida Geisha Natural 1029,2
Ethiopia Yirgacheffe Washed,2
Madagascar Yellow Bourbon Santatra Coop,2
100% Guatemalan,2
Idido,2
Ethiopia Sidama Anaerobic,2
Kenya Kevota Makengi,2
Kona Laurina Pointu,2
Colombia San Pascual Natural,2
Colombia Granja La Esperanza Tres Dragones,2
Congo Boza,2
Ethiopia Sidama Bombe Natural,2
DR Congo Muungano Co-op South Kivu,2
Monteblanco Cold Fermentation Geisha,2
DR Congo Muungano,2
Coffea Diversa Liberica Carbonic Maceration,2
Costa Rica Hacienda Tobosi Copey Villa Sarchi Black Honey,2
Abu Natural Panama Geisha,2
Finca Potosi Anaerobic,2
Rwanda Gasharu Natural,2
Ethiopia Keramo Natural,2
Kenya Gachatha Nyeri,2
Sumatra Siamang Forest,2
Ethiopia Bench Maji Gesha Village Dimma Illubabor Forest A6 Natural,2
Organic 18 Rabbits Honduras,2
Costa Rica Canet Raisin Honey,2
Ethiopia Natural Sidama TAMIRU 74158,2
Colombia La Estrella Carbonic Maceration,2
Peru Incahuasi,2
Mama Cata Mokkita,2
Nicaragua Flor de Dalia Natural,2
Kahiko,2
Pacas Estate El Salvador Natural,2
Puna Arakawa Estate Lactic Natural,2
Kona Noir,2
Ethiopia Natural Sidama Abebe 74110,2
Ethiopia Buno Dambi Uddo,2
Karatina Kenya,2
Finca Buenavista Edwin Zambrano Colombia,2
Colombia La Siria Geisha,2
Ethiopia Guji Odo Shakiso,2
Colombian Anaerobic,2
Colombia Pink Bourbon Filadelfia,2
Nicaragua Selva Negra,2
Ethiopia Microanaerobic Geisha,2
COE Sidama Bona 74110,2
Ethiopia Hambela Goro,2
Nicaragua Los Pedernales,2
Colombia Geisha,2
Ethiopia Bekele Heto Natural,2
Colombia Don Ruiz Anaerobic,2
Costa Rica La Toboba Red Honey,2
Guatemala Tojquia,2
Ethiopia Hambela Tetsu Process,2
Las Moritas Yellow Caturra,2
Finca San Carlos,2
Peru Gesha Limited-Release Homer Alarcón Gayoso,2
Ethiopia Odola Washed,2
Costa Rica Luis Campos Termico,2
Papua New Guinea Wahgi Valley Sigri Estate Peaberry,2
El Triunfo Mexico,2
Colombia Castillo Fruit Maceration Series (Strawberry),2
Colombia Castillo Fruit Maceration Series (Passionfruit),2
Ethiopia Gera Estate Anaerobic Natural,2
Cattleya Blend,2
